URL,Complex Name,Address
https://www.apartments.com/the-harper-at-trout-river-jacksonville-fl/df6hq6h/,The Harper at Trout River,"9805 Trout Tides Blvd, Jacksonville, FL 32219"
https://www.apartments.com/avia-lofts-on-liberty-ridge-jacksonville-fl/lwkkc1f/,AVIA Lofts on Liberty Ridge,"8365 Dix Ellis Trl, Jacksonville, FL 32256"
https://www.apartments.com/the-aston-at-town-center-jacksonville-fl/cjjgzgd/,The Aston at Town Center,"10655 Brightman Blvd, Jacksonville, FL 32246"
https://www.apartments.com/tropia-luxury-apartments-jacksonville-fl/8creng1/,Tropia Luxury Apartments,"13924 Egrets Nest Dr, Jacksonville, FL 32258"
https://www.apartments.com/aventon-highgrove-jacksonville-fl/c2e9qpf/,Aventon Highgrove,"11849 Palm Bay Pky, Jacksonville, FL 32256"
https://www.apartments.com/woodside-at-seven-pines-jacksonville-fl/psyzybt/,Woodside at Seven Pines,"11830 Buckfield Cir, Jacksonville, FL 32256"
https://www.apartments.com/beachline-jacksonville-fl/5r4t20n/,Beachline,"13305 Beach Blvd, Jacksonville, FL 32246"
https://www.apartments.com/artea-at-southbank-jacksonville-fl/c4vwx9e/,Artea at Southbank,"944 Broadcast Pl, Jacksonville, FL 32207"
https://www.apartments.com/lofts-at-san-marco-east-jacksonville-fl/ysflhrr/,Lofts at San Marco East,"3036 Philips Hwy, Jacksonville, FL 32207"
https://www.apartments.com/loggia-pointe-jacksonville-fl/t0bphqc/,Loggia Pointe,"12522 Loggia Ln, Jacksonville, FL 32218"
https://www.apartments.com/hurston-jacksonville-fl/xnb9vzp/,Hurston,"50 Lago Mar Way, Jacksonville, FL 32258"
https://www.apartments.com/olea-etown-jacksonville-fl/t1nxfn9/,Olea eTown,"11385 Exchange st, Jacksonville, FL 32256"
https://www.apartments.com/novo-westlake-jacksonville-fl/8g0blg0/,Novo Westlake,"4910 Samaritan Way, Jacksonville, FL 32210"
https://www.apartments.com/cottage-street-at-etown-jacksonville-fl/k42pcp9/,Cottage Street at eTown,"11100 Domain Dr, Jacksonville, FL 32256"
https://www.apartments.com/the-pointe-at-davis-creek-jacksonville-fl/2mmvc09/,The Pointe at Davis Creek,"12175 Philips Hwy, Jacksonville, FL 32256"
https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,Madison Palms,"8300 Merrill Rd, Jacksonville, FL 32277"
https://www.apartments.com/north-pointe-residences-jacksonville-fl/11eqhx7/,North Pointe Residences,"11764 Robert Masters Blvd, Jacksonville, FL 32218"
https://www.apartments.com/huntington-forest-jacksonville-fl/v60p93g/,Huntington Forest,"6101 Old St Augustine Rd, Jacksonville, FL 32257"
