,Unnamed: 0,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location,Longitude,Latitude
23,23,2 Bedroom 2 Bath,1495.0,Unit 2310,1029.0,Now,2.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)",,3.0
24,24,2 Bedroom 2 Bath,1495.0,Unit 6310,1029.0,Now,2.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)",,3.0
25,25,3 Bedroom 2 Bath,1795.0,Unit 2302,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)",,3.0
26,26,3 Bedroom 2 Bath,1815.0,Unit 2102,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)",,3.0
27,27,3 Bedroom 2 Bath,1815.0,Unit 2109,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)",,3.0
28,28,Paloma,1855.0,Unit 14147,1239.0,Now,2.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
29,29,Paloma,1855.0,Unit 14113,1239.0,Now,2.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
30,30,Lucia,2165.0,Unit 14151,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
31,31,Lucia,2599.0,Unit 14126,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
32,32,Lucia,2599.0,Unit 14130,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
33,33,Lucia,2599.0,Unit 14132,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
34,34,Lucia,2599.0,Unit 14136,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258","(30.141658843561, -81.536207600281)",,
