Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address
The Forsyth,1157.0,Unit 1505,593.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Forsyth,1174.0,Unit 1105,593.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Riverside,1284.0,Unit 1003,520.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Riverside,1284.0,Unit 1103,520.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Riverside,1284.0,Unit 1203,520.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Riverside,1284.0,Unit 0803,520.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The LaVilla,1349.0,Unit 1001,632.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The LaVilla,1349.0,Unit 1101,632.0,Now,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The LaVilla,1334.0,Unit 0801,632.0,May 4,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Springfield,1424.0,Unit 1702,665.0,Mar 4,1.0,1 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
The Ortega,1791.0,Unit 1806,765.0,Now,2.0,2 ,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202"
"1 BR, 1 BA - Classic",1179.0,Unit 6-051,680.0,Now,1.0,1 ,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207"
"1 BR, 1 BA - Classic",1179.0,Unit 8-076,680.0,Now,1.0,1 ,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207"
"1 BR, 1 BA - Classic",1179.0,Unit 18-179,680.0,Now,1.0,1 ,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207"
"1 BR, 1 BA - Upgrade",1204.0,Unit 13-129,680.0,Now,1.0,1 ,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207"
"1 BR, 1 BA - Upgrade",1204.0,Unit 1-006,680.0,Now,1.0,1 ,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207"
Mangrove(1 Bed 1 Bath),850.0,Unit 810,884.0,Now,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Mangrove(1 Bed 1 Bath),850.0,Unit 115,884.0,Now,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
Mangrove(1 Bed 1 Bath),850.0,Unit 1201,884.0,Now,1.0,1 ,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211"
