,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location
25,3 Bedroom 2 Bath,1795.0,Unit 2302,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)"
26,3 Bedroom 2 Bath,1815.0,Unit 2102,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)"
27,3 Bedroom 2 Bath,1815.0,Unit 2109,1185.0,Now,3.0,2.0,Madison Palms,https://www.apartments.com/madison-palms-jacksonville-fl/xwk5hlm/,"8300 Merrill Rd, Jacksonville, FL 32277","(30.3486438, -81.5586242)"
28,Paloma,1855.0,Unit 14147,1239.0,Now,2.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
29,Paloma,1855.0,Unit 14113,1239.0,Now,2.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
30,Lucia,2165.0,Unit 14151,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
31,Lucia,2599.0,Unit 14126,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
32,Lucia,2599.0,Unit 14130,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
33,Lucia,2599.0,Unit 14132,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
34,Lucia,2599.0,Unit 14136,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
35,Lucia,2599.0,Unit 14145,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
36,Lucia,2599.0,Unit 14146,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
37,Lucia,2599.0,Unit 14149,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
38,Lucia,2599.0,Unit 14150,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
39,Lucia,2599.0,Unit 14155,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
40,Lucia,2599.0,Unit 14106,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
41,Lucia,2599.0,Unit 14110,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
42,Lucia,2599.0,Unit 14112,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
43,Lucia,2599.0,Unit 14116,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
44,Lucia,2599.0,Unit 12610,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
45,Lucia,2599.0,Unit 12612,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
46,Lucia,2599.0,Unit 14105,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
47,Lucia,2599.0,Unit 14111,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
48,Lucia,2599.0,Unit 14115,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
