,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths,Name,URL,Address,Location
49,Lucia,2599.0,Unit 14156,1438.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
50,Bella,2208.0,Unit 14138,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
51,Bella,2650.0,Unit 14124,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
52,Bella,2650.0,Unit 14157,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
53,Bella,2650.0,Unit 14158,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
54,Bella,2650.0,Unit 14118,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
55,Bella,2650.0,Unit 14143,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
56,Bella,2675.0,Unit 14117,1396.0,Now,3.0,2.5,Casa Solara Townhomes,https://www.apartments.com/casa-solara-townhomes-jacksonville-fl/cdrx52d/,"14158 Wind Row Dr, Jacksonville, FL 32258",NOT FOUND
57,The Forsyth,1157.0,Unit 1505,593.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
58,The Forsyth,1174.0,Unit 1105,593.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
59,The Riverside,1284.0,Unit 1003,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
60,The Riverside,1284.0,Unit 1103,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
61,The Riverside,1284.0,Unit 1203,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
62,The Riverside,1284.0,Unit 0803,520.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
63,The LaVilla,1349.0,Unit 1001,632.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
64,The LaVilla,1349.0,Unit 1101,632.0,Now,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
65,The LaVilla,1334.0,Unit 0801,632.0,May 4,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
66,The Springfield,1424.0,Unit 1702,665.0,Mar 4,1.0,1.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
67,The Ortega,1791.0,Unit 1806,765.0,Now,2.0,2.0,The Residences at Barnett,https://www.apartments.com/the-residences-at-barnett-jacksonville-fl/xwg41lq/,"112 W Adams St, Jacksonville, FL 32202","(30.3279317, -81.6593479)"
68,"1 BR, 1 BA - Classic",1179.0,Unit 6-051,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)"
69,"1 BR, 1 BA - Classic",1179.0,Unit 8-076,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)"
70,"1 BR, 1 BA - Classic",1179.0,Unit 18-179,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)"
71,"1 BR, 1 BA - Upgrade",1204.0,Unit 13-129,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)"
72,"1 BR, 1 BA - Upgrade",1204.0,Unit 1-006,680.0,Now,1.0,1.0,The Landings at San Marco,https://www.apartments.com/the-landings-at-san-marco-jacksonville-fl/we2dnrk/,"2600 Art Museum Dr, Jacksonville, FL 32207","(30.300189, -81.61325)"
73,Mangrove(1 Bed 1 Bath),850.0,Unit 810,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
74,Mangrove(1 Bed 1 Bath),850.0,Unit 115,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
75,Mangrove(1 Bed 1 Bath),850.0,Unit 1201,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
76,Mangrove(1 Bed 1 Bath),850.0,Unit 806,884.0,May 12,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
77,Mangrove (Fully Renovated),1080.0,Unit 1403,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
78,Mangrove (Fully Renovated),1080.0,Unit 1407,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
79,Mangrove (Fully Renovated),1080.0,Unit 1411,884.0,Now,1.0,1.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
80,Maple (2 bed 2 bath),1025.0,Unit 701,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
81,Maple (2 bed 2 bath),1025.0,Unit 206,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
82,Maple (2 bed 2 bath),1025.0,Unit 1215,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
83,Maple (2 bed 2 bath),1025.0,Unit 301,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
84,Maple (2 bed 2 bath),1025.0,Unit 102,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
85,Maple (2 bed 2 bath),1025.0,Unit 101,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
86,Maple (2 bed 2 bath),1025.0,Unit 704,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
87,Maple (2 bed 2 bath),1025.0,Unit 1208,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
88,Maple (Fully Renovated),1399.0,Unit 1401,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
89,Maple (Fully Renovated),1399.0,Unit 1404,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
90,Maple (Fully Renovated),1399.0,Unit 1409,1230.0,Now,2.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
91,Bald Cypress (3 bed 2 bath),1399.0,Unit 902,1538.0,Feb 28,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
92,Bald Cypress (3 bed 2 bath),1399.0,Unit 103,1538.0,Now,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
93,Bald Cypress (3 bed 2 bath),1399.0,Unit 324,1538.0,Now,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
94,Bald Cypress (3 bed 2 bath),1624.0,Unit 1101,1538.0,Now,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
95,Bald Cypress (3 bed 2 bath),1399.0,Unit 316,1538.0,Mar 22,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
96,Bald Cypress (3 bed 2 bath),1399.0,Unit 116,1538.0,Mar 26,3.0,2.0,Red Bay Apartment Complex,https://www.apartments.com/red-bay-apartment-complex-jacksonville-fl/ksmqmkc/,"7528 Arlington Expy, Jacksonville, FL 32211","(30.327247334639807, -81.57948626307115)"
97,1 Bed 1 Bath,1249.0,Unit 1021,775.0,Now,1.0,1.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
98,1 Bed 1 Bath,1299.0,Unit 713,775.0,Now,1.0,1.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
99,1 Bed 1 Bath,1299.0,Unit 703,775.0,Now,1.0,1.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
100,2 Bed 2 Bath,1449.0,Unit 308,1007.0,Now,2.0,2.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
101,2 Bed 2 Bath,1449.0,Unit 317,1007.0,Mar 11,2.0,2.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
102,2 Bed 2 Bath,1319.0,Unit 1001,1007.0,Mar 26,2.0,2.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
103,3 Bed 2 Bath,1599.0,Unit 1202,1305.0,Now,3.0,2.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
104,3 Bed 2 Bath,1599.0,Unit 917,1305.0,Apr 12,3.0,2.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
105,3 Bed 2 Bath,1599.0,Unit 818,1305.0,Apr 30,3.0,2.0,Oaks at Normandy Apartments,https://www.apartments.com/oaks-at-normandy-apartments-jacksonville-fl/z8mr8ez/,"7777 Normandy Blvd, Jacksonville, FL 32221","(30.295249424524307, -81.77590789121044)"
106,The Cloverleaf,2238.0,Unit 1308,836.0,Now,1.0,1.0,Coventry Park Apartments,https://www.apartments.com/coventry-park-apartments-jacksonville-fl/0mmsgv2/,"6650 Corporate Center Pky, Jacksonville, FL 32216","(30.2564795, -81.5978659)"
