Complex URL,Floor Plan Name,Price,Unit Name,Square Footage,Availability,Beds,Baths
https://www.apartments.com/palomas-apartments-jacksonville-fl/067j3d1/,One Bed,895,1,600,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/palomas-apartments-jacksonville-fl/067j3d1/,One Bed,895,1,600,Now,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,1 Bedroom | 1 Bathroom,1028,415,666,Nov 7,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,1 Bedroom | 1 Bathroom,1028,420,666,Nov 11,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,1 Bedroom | 1 Bathroom,1028,428,666,Nov 22,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,2 Bedrooms | 2 Bathrooms,1234,401,948,Nov 7,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,2 Bedrooms | 2 Bathrooms,1234,326,948,Nov 11,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,3 Bedroom | 2 Bathroom,1428,408,"1,176",Nov 18,<span>3 beds</span>,<span>2 baths</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,1 Bedroom | 1 Bathroom,1028,415,666,Nov 7,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,1 Bedroom | 1 Bathroom,1028,420,666,Nov 11,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,1 Bedroom | 1 Bathroom,1028,428,666,Nov 22,<span>1 bed</span>,<span>1 bath</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,2 Bedrooms | 2 Bathrooms,1234,401,948,Nov 7,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,2 Bedrooms | 2 Bathrooms,1234,326,948,Nov 11,<span>2 beds</span>,<span>2 baths</span>
https://www.apartments.com/lofts-at-lavilla-jacksonville-fl/1qmnp47/,3 Bedroom | 2 Bathroom,1428,408,"1,176",Nov 18,<span>3 beds</span>,<span>2 baths</span>
https://www.apartments.com/1032-busac-ave-jacksonville-fl/elclycq/,3 Bedroom | 2 Bathroom,$1595,,"1,222 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/3991-whippoorwill-holler-ln-jacksonville-fl/66fkgnv/,3 Bedroom | 2 Bathroom,$2050,,"1,782 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/7396-prosperity-park-rd-n-jacksonville-fl/7gmv1jw/,3 Bedroom | 2 Bathroom,$1689,,"1,572 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/6873-biddy-ln-jacksonville-fl/qrq0jxx/,3 Bedroom | 2 Bathroom,$1585,,"1,414 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/2918-corkwood-rd-jacksonville-fl/t79qyp9/,3 Bedroom | 2 Bathroom,$2150,,"1,966 sq ft",Nov 18,4 bd,2.5 ba
https://www.apartments.com/3254-riva-ridge-ct-jacksonville-fl/0e6l750/,3 Bedroom | 2 Bathroom,$2230,,"1,977 sq ft",Nov 18,4 bd,2.5 ba
https://www.apartments.com/863-s-lilac-loop-jacksonville-fl/z97xk8y/,3 Bedroom | 2 Bathroom,$2030,,"1,555 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/4670-glendas-meadow-dr-jacksonville-fl/0zzrdp2/,3 Bedroom | 2 Bathroom,$1785,,"1,883 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/671-mandy-oaks-dr-jacksonville-fl/zq9w0nz/,3 Bedroom | 2 Bathroom,$2020,,"2,187 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/3811-star-leaf-road-jacksonville-fl/jdy8me7/,3 Bedroom | 2 Bathroom,$1810,,"1,461 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/9237-hawks-run-ln-jacksonville-fl/z02k0kw/,3 Bedroom | 2 Bathroom,$1885,,"2,074 sq ft",Nov 18,3 bd,2 ba
https://www.apartments.com/1271-mull-st-jacksonville-fl/3j5f13d/,3 Bedroom | 2 Bathroom,$1441,,"1,509 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/11605-dunes-way-dr-n-jacksonville-fl/m003rlk/,3 Bedroom | 2 Bathroom,$1499,,"1,368 sq ft",Nov 18,3 bd,2.5 ba
https://www.apartments.com/11309-john-rutledge-pl-jacksonville-fl/f6gfw0v/,3 Bedroom | 2 Bathroom,$2129,,"1,975 sq ft",Nov 18,4 bd,2 ba
https://www.apartments.com/13741-hillandale-dr-jacksonville-fl/h3tb092/,3 Bedroom | 2 Bathroom,$2550,,"2,215 sq ft",Nov 18,3 bd,2 ba
